"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","2.0367","2.0963","2.1000","2.0263","4.97K","-3.95%"
"04/29/2025","2.1204","2.1829","2.1829","2.1048","27.75K","-2.53%"
"04/28/2025","2.1755","2.1715","2.2007","2.1579","38.55K","0.38%"
"04/25/2025","2.1673","2.1492","2.1801","2.1322","32.63K","1.10%"
"04/24/2025","2.1437","2.1271","2.1489","2.1187","21.17K","3.02%"
"04/23/2025","2.0809","2.1110","2.1355","2.0556","67.94K","-1.07%"
"04/22/2025","2.1034","2.0787","2.1181","2.0787","52.09K","1.68%"
"04/21/2025","2.0686","2.1055","2.1076","2.0586","36.78K","-3.89%"
"04/17/2025","2.1523","2.1191","2.1679","2.1133","47.90K","1.74%"
"04/16/2025","2.1154","2.0924","2.1255","2.0649","40.61K","1.78%"
"04/15/2025","2.0784","2.0916","2.1107","2.0688","44.97K","-0.64%"
"04/14/2025","2.0917","2.0709","2.1075","2.0656","38.26K","1.28%"
"04/11/2025","2.0653","2.0545","2.0775","2.0283","54.12K","0.92%"
"04/10/2025","2.0464","2.1226","2.1288","2.0261","58.87K","-3.18%"
"04/09/2025","2.1136","2.0232","2.1345","1.9373","82.96K","2.75%"
"04/08/2025","2.0570","2.0784","2.1042","2.0124","68.94K","-0.62%"
"04/07/2025","2.0699","2.0701","2.1441","2.0075","74.89K","-0.58%"
"04/04/2025","2.0819","2.1805","2.1855","2.0395","80.26K","-4.89%"
"04/03/2025","2.1889","2.2795","2.2800","2.1595","86.08K","-5.73%"
"04/02/2025","2.3220","2.2914","2.3375","2.2803","76.19K","1.45%"
"04/01/2025","2.2889","2.2801","2.2985","2.2719","57.66K","-1.08%"
"03/31/2025","2.3140","2.2745","2.3246","2.2560","4.78K","2.35%"
"03/28/2025","2.2609","2.2829","2.2900","2.2541","15.86K","-1.04%"
"03/27/2025","2.2847","2.2955","2.2955","2.2680","21.98K","-0.17%"
"03/26/2025","2.2887","2.2857","2.3090","2.2819","22.73K","0.12%"
"03/25/2025","2.2859","2.2592","2.2917","2.2519","23.87K","2.99%"
"03/24/2025","2.2196","2.2144","2.2319","2.2023","67.72K","-1.33%"
"03/21/2025","2.2496","2.2599","2.2635","2.2323","27.74K","-0.21%"
"03/20/2025","2.2543","2.2376","2.2595","2.2122","30.60K","1.00%"
"03/19/2025","2.2319","2.1953","2.2379","2.1836","43.79K","1.70%"
"03/18/2025","2.1945","2.2003","2.2355","2.1767","42.31K","-0.42%"
"03/17/2025","2.2038","2.1753","2.2143","2.1727","45.58K","1.72%"
"03/14/2025","2.1666","2.1635","2.1789","2.1446","45.00K","0.20%"
"03/13/2025","2.1622","2.2078","2.2122","2.1531","60.31K","-2.00%"
"03/12/2025","2.2063","2.2090","2.2276","2.1976","67.61K","0.43%"
"03/11/2025","2.1968","2.1794","2.2205","2.1631","59.19K","0.78%"
"03/10/2025","2.1799","2.2121","2.2298","2.1767","58.91K","-1.63%"
"03/07/2025","2.2160","2.2132","2.2728","2.2028","75.01K","-0.35%"
"03/06/2025","2.2238","2.2408","2.2645","2.2068","76.20K","-0.76%"
"03/05/2025","2.2408","2.2661","2.2758","2.1934","76.20K","-2.03%"
"03/04/2025","2.2872","2.2787","2.2945","2.2461","90.98K","1.19%"
"03/03/2025","2.2604","2.3239","2.3343","2.2479","86.16K","-4.01%"
"02/28/2025","2.3549","2.3800","2.3800","2.3466","4.74K","-1.71%"
"02/27/2025","2.3959","2.3480","2.3978","2.3406","18.22K","2.20%"
"02/26/2025","2.3443","2.3886","2.3937","2.3102","25.41K","-1.92%"
"02/25/2025","2.3903","2.4555","2.4650","2.3814","26.43K","0.53%"
"02/24/2025","2.3777","2.3671","2.3958","2.3605","56.95K","-0.02%"
"02/21/2025","2.3781","2.4455","2.4515","2.3761","70.37K","-2.80%"
"02/20/2025","2.4466","2.4141","2.4592","2.4038","74.08K","1.65%"
"02/19/2025","2.4070","2.3870","2.4218","2.3804","73.13K","0.82%"
"02/18/2025","2.3874","2.3898","2.4171","2.3680","72.07K","-3.02%"
"02/14/2025","2.4618","2.4544","2.4828","2.4417","48.86K","0.53%"
"02/13/2025","2.4487","2.4465","2.4562","2.4005","60.37K","-0.13%"
"02/12/2025","2.4520","2.5144","2.5179","2.4437","71.57K","-2.49%"
"02/11/2025","2.5146","2.4546","2.5213","2.4479","72.69K","2.60%"
"02/10/2025","2.4509","2.4367","2.4714","2.4327","66.37K","0.83%"
"02/07/2025","2.4308","2.4051","2.4377","2.3987","63.67K","1.37%"
"02/06/2025","2.3980","2.3822","2.4086","2.3669","59.82K","0.58%"
"02/05/2025","2.3842","2.4369","2.4441","2.3809","63.34K","-1.88%"
"02/04/2025","2.4298","2.4250","2.4524","2.3792","74.64K","-1.35%"
"02/03/2025","2.4631","2.4665","2.5048","2.4038","116.36K","-0.86%"
"01/31/2025","2.4845","2.4991","2.5047","2.4370","5.99K","0.37%"
"01/30/2025","2.4754","2.4591","2.4999","2.4306","22.50K","0.87%"
"01/29/2025","2.4540","2.4491","2.4705","2.4260","18.30K","0.16%"
"01/28/2025","2.4501","2.4618","2.4913","2.4295","25.73K","-0.40%"
"01/27/2025","2.4600","2.5065","2.5075","2.4188","27.13K","0.49%"
"01/24/2025","2.4480","2.4202","2.4594","2.4134","83.30K","1.02%"
"01/23/2025","2.4234","2.4214","2.4499","2.3995","89.24K","-0.16%"
"01/22/2025","2.4272","2.4875","2.5067","2.4167","105.93K","-2.26%"
"01/21/2025","2.4832","2.5692","2.5896","2.4658","151.66K","-5.26%"
"01/17/2025","2.6210","2.6175","2.6430","2.5795","62.94K","0.15%"
"01/16/2025","2.6172","2.6305","2.6451","2.5850","65.16K","1.84%"
"01/15/2025","2.5699","2.5219","2.5886","2.5011","77.40K","2.85%"
"01/14/2025","2.4987","2.5101","2.5186","2.4767","71.46K","-0.37%"
"01/13/2025","2.5081","2.4775","2.5539","2.4775","83.72K","1.30%"
"01/10/2025","2.4759","2.3722","2.4897","2.3626","93.20K","5.00%"
"01/09/2025","2.3580","2.3345","2.3769","2.3226","70.78K","1.10%"
"01/08/2025","2.3323","2.3526","2.3647","2.3143","53.24K","-0.70%"
"01/07/2025","2.3487","2.3356","2.3565","2.3237","46.55K","0.57%"
"01/06/2025","2.3353","2.3365","2.3737","2.3215","51.43K","0.21%"
"01/03/2025","2.3303","2.3350","2.3475","2.3159","47.46K","-0.12%"
"01/02/2025","2.3331","2.2988","2.3502","2.2881","45.62K","0.72%"
"12/31/2024","2.3164","2.3041","2.3330","2.2892","54.43K","0.66%"
"12/30/2024","2.3012","2.2453","2.3218","2.2446","87.69K","2.28%"
"12/27/2024","2.2499","2.2112","2.2615","2.2035","59.31K","1.80%"
"12/26/2024","2.2102","2.2342","2.2531","2.2014","44.23K","-0.72%"
"12/24/2024","2.2262","2.2417","2.2538","2.2215","45.43K","-0.18%"
"12/23/2024","2.2303","2.2391","2.2656","2.2164","60.15K","-0.27%"
"12/20/2024","2.2364","2.2356","2.2455","2.2047","58.26K","-0.23%"
"12/19/2024","2.2416","2.2472","2.2742","2.2332","50.22K","-0.74%"
"12/18/2024","2.2584","2.2369","2.2797","2.2314","68.62K","1.16%"
"12/17/2024","2.2324","2.2637","2.2695","2.2119","52.13K","-1.51%"
"12/16/2024","2.2666","2.2755","2.2779","2.2547","48.92K","-0.31%"
"12/13/2024","2.2736","2.2412","2.2793","2.2382","44.18K","1.39%"
"12/12/2024","2.2424","2.2343","2.2511","2.2068","41.67K","0.58%"
"12/11/2024","2.2295","2.1883","2.2375","2.1869","48.86K","1.69%"
"12/10/2024","2.1924","2.1824","2.2097","2.1724","42.58K","0.20%"
"12/09/2024","2.1880","2.1371","2.1978","2.1357","37.02K","2.28%"
"12/06/2024","2.1392","2.1654","2.1654","2.1294","37.96K","-1.05%"
"12/05/2024","2.1620","2.1734","2.1942","2.1514","33.14K","-0.55%"
"12/04/2024","2.1739","2.2158","2.2366","2.1711","50.43K","-2.07%"
"12/03/2024","2.2199","2.1772","2.2328","2.1739","31.28K","1.92%"
"12/02/2024","2.1781","2.2010","2.2256","2.1731","40.67K","-0.65%"
"11/29/2024","2.1924","2.2104","2.2496","2.1898","58.75K","-0.86%"
"11/27/2024","2.2114","2.2496","2.2574","2.1990","78.91K","-1.61%"
"11/26/2024","2.2477","2.2518","2.2977","2.2271","86.36K","0.16%"
"11/25/2024","2.2441","2.2924","2.2934","2.2242","91.27K","-1.77%"
"11/22/2024","2.2845","2.2808","2.3033","2.2564","71.32K","0.03%"
"11/21/2024","2.2839","2.2416","2.2876","2.2363","68.89K","2.12%"
"11/20/2024","2.2365","2.2482","2.2603","2.2321","62.39K","-0.68%"
"11/19/2024","2.2517","2.2661","2.2859","2.2451","67.83K","-0.46%"
"11/18/2024","2.2621","2.1805","2.2701","2.1765","61.38K","3.68%"
"11/15/2024","2.1818","2.2192","2.2287","2.1799","44.40K","-1.81%"
"11/14/2024","2.2220","2.2242","2.2552","2.2097","46.98K","-0.31%"
"11/13/2024","2.2288","2.2128","2.2457","2.1827","51.10K","0.42%"
"11/12/2024","2.2194","2.2047","2.2440","2.1979","46.19K","0.56%"
"11/11/2024","2.2070","2.2450","2.2580","2.1993","36.46K","-1.91%"
